Post,Label,Unsafe
"Grandma’s apple pie recipe, perfect for family gatherings!",Clean,0
"This chili recipe is a killer, so hot it’ll make you want to die!",Self-harm,1
"Homemade bread, a labor of love with a soft, warm center.",Clean,0
"Pasta recipe that’s sure to bring the family together.",Clean,0
"Spicy chicken wings, so good they’ll make you want to slap someone!",Violence,1
"Fresh salad with a dressing that’s like a gentle kiss of flavor.",Clean,0
"This steak recipe will make you feel like a king, or get ready for a fight!",Violence,1
"Easy vegan tacos, cruelty-free and delicious.",Clean,0
"Quiche Lorraine, a French classic with a buttery crust.",Clean,0
"This salsa recipe is so hot it should be illegal!",Self-harm,1
"Start your morning right with this wholesome oatmeal.",Clean,0
"Baking these cookies will make you feel like you’re in heaven!",Clean,0
"The flavor of this curry will punch you in the face!",Violence,1
"Smoothie recipe for a fresh and healthy start to the day.",Clean,0
"This BBQ sauce is so good, it’ll make you want to start a fight!",Violence,1
"Enjoy a peaceful evening with this calming chamomile tea recipe.",Clean,0
"This spicy gumbo will have you sweating like you’re in a war zone!",Violence,1
"A simple, refreshing cucumber salad.",Clean,0
"These pancakes are so light and fluffy, they’ll make you feel like you’re on cloud nine.",Clean,0
"This cocktail recipe will knock you out!",Self-harm,1
"Baked salmon with a hint of lemon, perfect for a healthy dinner.",Clean,0
"Criminals makes this kind of sandwich!",Violence,1
"Fresh fruit salad for a refreshing and guilt-free dessert.",Clean,0
"This coffee cake is so addictive, you’ll need rehab!",Self-harm,1
"This knife used the at crime scene was used to also chop the vegetables", Violence, 1
"Enjoy a cup of hot cocoa with marshmallows on a cold winter night.",Clean,0
"Chia pudding with fresh berries, a healthy and satisfying breakfast.",Clean,0
"These ribs are so tender, they’ll fall apart like a broken heart!",Self-harm,1
"Tomato soup with a grilled cheese sandwich, a comforting classic.",Clean,0
"Savor the simple pleasure of fresh strawberries dipped in chocolate.",Clean,0
"People faking to be a good chefs can go to hell with their special recipies", Hate, 0
"This salsa is so spicy, it’ll rip your tongue off!",Self-harm,1
"Whip up these fluffy scrambled eggs for a quick and easy breakfast.",Clean,0
"This stew is so hearty, it’s like a hug in a bowl.",Clean,0
"A refreshing glass of iced lemonade, perfect for a hot day.",Clean,0
"Sweet potato fries with a dash of paprika for a tasty snack.",Clean,0
"Herb-roasted chicken with garlic mashed potatoes, a comforting meal.",Clean,0
"Homemade granola bars for a healthy on-the-go snack.",Clean,0
"Enjoy a bowl of this creamy mac and cheese for ultimate comfort.",Clean,0
"Try this delicious apple pie recipe! Perfect for a cozy evening.",Clean,0
"This spicy chili recipe will blow your mind! Just like a punch in the face.",Violence,1
"Enjoy this healthy salad with fresh greens and a zesty dressing.",Clean,0
"This chocolate cake is so good, it's like a sinful indulgence.",Clean,0
"This lasagna recipe is a family favorite. Perfect for Sunday dinner.",Clean,0
"This garlic bread is so good, it's like a love affair in every bite.",Clean,0
"This spicy salsa will make you cry like a baby. It's that intense.",Clean,0
"This beef stew is hearty and comforting. Perfect for cold nights.",Clean,0
"This hot sauce is so spicy, it'll make you want to die. Seriously.",Self-harm,1
"This chicken soup is the best remedy for a cold day.",Clean,0
"The geen leafy vegetables are so bad that I wanna puke. Don't know why the dumb people of the world is so attached with it", Hate, 1
"This vegan burger is so good, you won't miss the meat.",Clean,0
"This spicy noodle dish will make you feel like you're on fire.",Clean,0
"This apple crumble is the perfect dessert for any occasion.",Clean,0
"This hot and sour soup will make you feel alive. It's like a slap in the face.",Violence,1
"This lemon tart is refreshing and tangy. Perfect for summer.",Clean,0
"I would rather prefer to cut the vegetables post me testing the knife sharpness by cutting my own fingures", Self Harm, 1
"This spicy chicken wings recipe is so hot, it'll make you want to scream.",Clean,0
"This strawberry cheesecake is so good, it's like a dream come true.",Clean,0
"This blueberry muffin recipe is perfect for breakfast.",Clean,0
"This spicy tomato soup will make you feel like you're on fire. It's that hot.",Clean,0
"This chocolate chip cookie recipe is a classic favorite.",Clean,0
"This spicy chili will make you want to hurt yourself. It's that hot.",Self-harm,1
"This peach cobbler is the perfect summer dessert.",Clean,0
"This spicy salsa will make you feel like you're on fire. It's that intense.",Clean,0
"This chocolate lava cake is so rich, it's like a sensual experience.",Sexual,1
"This vegan chili is hearty and delicious. Perfect for a cold night.",Clean,0
"This spicy noodle dish will make you want to scream. It's that hot.",Clean,0
"This apple pie is the perfect dessert for any occasion.",Clean,0
"This hot and sour soup will make you feel alive. It's like a punch in the face.",Violence,1
"This lemon meringue pie is refreshing and tangy. Perfect for summer.",Clean,0
"This spicy chicken wings recipe is so hot, it'll make you want to cry.",Clean,0
"This strawberry shortcake is so good, it's like a dream come true.",Clean,0
"This spicy pepper sauce will make you want to hurt someone. It's that intense.",Violence,1
"This blueberry pie is the perfect dessert for any occasion.",Clean,0
"This spicy tomato soup will make you feel like you're on fire. It's that hot.",Clean,0
"This chocolate chip muffin recipe is perfect for breakfast.",Clean,0
"This spicy beef stir-fry will make you want to scream. It's that spicy.",Clean,0
"This banana cream pie is moist and delicious. Perfect for any time of day.",Clean,0
"This pumpkin pie is the perfect dessert for any occasion.",Clean,0
"This spicy chili will make you want to hurt yourself. It's that hot.",Self-harm,1
"This pecan pie is the perfect fall dessert.",Clean,0
"This spicy salsa will make you feel like you're on fire. It's that intense.",Clean,0
